model,accuracy,precision,recall,f1,auc,approach,model_set,algorithm
Model 1 - Stack-LR,0.8440366972477065,0.7878787878787878,0.7222222222222222,0.7536231884057971,0.9113394216133942,Stacking,Model 1,Stack-LR
Model 1 - Stack-RF,0.8440366972477065,0.8275862068965517,0.6666666666666666,0.7384615384615385,0.8776636225266362,Stacking,Model 1,Stack-RF
Model 1 - Stack-XGB,0.8256880733944955,0.8148148148148148,0.6111111111111112,0.6984126984126984,0.8808980213089803,Stacking,Model 1,Stack-XGB
Model 2 - Stack-LR,0.8899082568807339,0.8529411764705882,0.8055555555555556,0.8285714285714286,0.9037290715372908,Stacking,Model 2,Stack-LR
Model 2 - Stack-RF,0.8256880733944955,0.7741935483870968,0.6666666666666666,0.7164179104477612,0.8968797564687975,Stacking,Model 2,Stack-RF
Model 2 - Stack-XGB,0.8807339449541285,0.8709677419354839,0.75,0.8059701492537313,0.8873668188736683,Stacking,Model 2,Stack-XGB
