rank,feature,mean_abs_shap,mean_shap,positive_impact_share,negative_impact_share
1,symptom_burden,0.12738476468888352,-0.0349563023499631,0.3486238532110092,0.6513761467889908
2,cycle_length_days,0.056898129584760065,-0.020065957962324826,0.25688073394495414,0.7431192660550459
3,weight_gain_y_n,0.055813966873164735,-0.0056863700517379235,0.44954128440366975,0.5504587155963303
4,skin_darkening_y_n,0.050289125737812405,-0.011995533310000622,0.30275229357798167,0.6972477064220184
5,cycle_regularity_binary,0.046969557968534595,-0.016412263134219743,0.24770642201834864,0.7522935779816514
6,hair_growth_y_n,0.04402506424773634,-0.007746499314654542,0.29357798165137616,0.7064220183486238
7,fast_food_y_n,0.033717161490979725,-0.007507547852952273,0.5045871559633027,0.4954128440366973
8,age_yrs,0.03016326102454566,-0.004898195292431098,0.4954128440366973,0.5045871559633027
9,pimples_y_n,0.024529770953051557,-0.009796889037330636,0.43119266055045874,0.5688073394495413
10,lifestyle_risk,0.017951611281441213,-0.0053042097529391805,0.43119266055045874,0.5688073394495413
11,waist_hip_ratio,0.014510237615440543,-0.0028986116526731514,0.3853211009174312,0.6146788990825688
12,bmi,0.013277920000841879,-0.0015114960966112357,0.43119266055045874,0.5688073394495413
13,regular_exercise_y_n,0.012907099184996421,0.0003892316916272695,0.27522935779816515,0.7247706422018348
14,rbs_mg_dl,0.012485776151289202,-0.004004555594761294,0.48623853211009177,0.5137614678899083
15,bmi_category,0.011238077923482968,-0.006750567572988023,0.24770642201834864,0.7522935779816514
16,bp_elevated_flag,0.009124728876591924,-0.003917686617906494,0.23853211009174313,0.7614678899082569
17,diastolic_bp_mmhg,0.008412019833330377,-0.002799293429221955,0.24770642201834864,0.7522935779816514
18,hair_loss_y_n,0.005197024720050879,-0.0026214188368288496,0.3119266055045872,0.6880733944954128
19,systolic_bp_mmhg,0.004935832778046374,-0.0027841377490262207,0.25688073394495414,0.7431192660550459
